time,sym,bid,ask
2016-04-10T22:33:03.950000,EURGBP,0.807550013,0.807600021
2016-04-10T22:33:59.800000,EURGBP,0.80746001,0.807579994
2016-04-10T22:34:00.756000,EURGBP,0.80746001,0.807579994
2016-04-10T22:34:29.785000,EURGBP,0.807529986,0.807579994
2016-04-10T22:34:46.946000,EURGBP,0.807430029,0.807539999
2016-04-10T22:34:59.805000,EURGBP,0.807449996,0.807539999
2016-04-10T22:35:00.806000,EURGBP,0.807449996,0.807539999
2016-04-10T22:35:13.505000,EURGBP,0.807439983,0.807529986
2016-04-10T22:35:27.578000,EURGBP,0.807449996,0.807550013
2016-04-10T22:35:59.828000,EURGBP,0.807449996,0.807539999
2016-04-10T22:36:01.774000,EURGBP,0.807449996,0.807539999
2016-04-10T22:36:24.235000,EURGBP,0.807439983,0.807550013
2016-04-10T22:36:57.705000,EURGBP,0.807370007,0.807510018
2016-04-10T22:36:59.904000,EURGBP,0.807410002,0.807519972
2016-04-10T22:37:00.093000,EURGBP,0.807410002,0.807519972
2016-04-10T22:37:45.535000,EURGBP,0.807420015,0.807529986
2016-04-10T22:37:59.028000,EURGBP,0.807389975,0.807500005
2016-04-10T22:38:01.369000,EURGBP,0.807389975,0.807500005
2016-04-10T22:38:05.046000,EURGBP,0.807389975,0.807489991
2016-04-10T22:38:12.584000,EURGBP,0.807439983,0.807529986
2016-04-10T22:38:57.169000,EURGBP,0.807410002,0.807519972
2016-04-10T22:39:00.179000,EURGBP,0.807410002,0.807519972
2016-04-10T22:39:46.348000,EURGBP,0.807389975,0.807510018
2016-04-10T22:39:57.876000,EURGBP,0.807420015,0.807550013
2016-04-10T22:39:58.894000,EURGBP,0.807410002,0.807529986
2016-04-10T22:40:00.011000,EURGBP,0.807410002,0.807529986
2016-04-10T22:40:42.532000,EURGBP,0.807399988,0.807510018
2016-04-10T22:40:53.668000,EURGBP,0.807410002,0.807529986
2016-04-10T22:40:59.702000,EURGBP,0.807399988,0.807519972
2016-04-10T22:41:01.117000,EURGBP,0.807410002,0.807519972
2016-04-10T22:41:36.506000,EURGBP,0.807399988,0.807500005
2016-04-10T22:41:37.801000,EURGBP,0.807430029,0.807539999
2016-04-10T22:41:59.674000,EURGBP,0.807410002,0.807519972
2016-04-10T22:42:00.303000,EURGBP,0.807410002,0.807519972
2016-04-10T22:42:04.864000,EURGBP,0.807410002,0.807529986
2016-04-10T22:42:54.849000,EURGBP,0.80726999,0.807370007
2016-04-10T22:42:59.869000,EURGBP,0.807299972,0.807410002
2016-04-10T22:43:00.004000,EURGBP,0.807290018,0.807410002
2016-04-10T22:43:03.280000,EURGBP,0.80726999,0.807380021
2016-04-10T22:43:56.832000,EURGBP,0.807330012,0.807449996
2016-04-10T22:44:09.017000,EURGBP,0.807330012,0.807449996
2016-04-10T22:44:27.733000,EURGBP,0.807299972,0.807410002
2016-04-10T22:44:42.076000,EURGBP,0.807319999,0.80746001
2016-04-10T22:44:54.950000,EURGBP,0.807299972,0.807430029
2016-04-10T22:45:01.183000,EURGBP,0.807299972,0.807430029
2016-04-10T22:45:30.135000,EURGBP,0.807259977,0.807380021
2016-04-10T22:45:57.949000,EURGBP,0.807299972,0.807439983
2016-04-10T22:45:59.033000,EURGBP,0.807299972,0.807430029
2016-04-10T22:46:02.312000,EURGBP,0.807299972,0.807420015
2016-04-10T22:46:47.075000,EURGBP,0.807309985,0.807449996
2016-04-10T22:46:59.111000,EURGBP,0.80726999,0.807380021
2016-04-10T22:47:00.308000,EURGBP,0.80726999,0.807380021
2016-04-10T22:47:18.013000,EURGBP,0.807229996,0.80734998
2016-04-10T22:47:47.795000,EURGBP,0.807319999,0.807439983
2016-04-10T22:47:57.434000,EURGBP,0.807309985,0.807430029
2016-04-10T22:48:00.794000,EURGBP,0.807309985,0.807430029
2016-04-10T22:48:53.039000,EURGBP,0.807299972,0.807430029
2016-04-10T22:48:59.062000,EURGBP,0.807309985,0.807430029
2016-04-10T22:49:00.064000,EURGBP,0.807309985,0.807430029
2016-04-10T22:49:31.936000,EURGBP,0.807319999,0.807430029
2016-04-10T22:49:45.107000,EURGBP,0.807210028,0.807330012
2016-04-10T22:49:59.532000,EURGBP,0.807259977,0.807340026
2016-04-10T22:50:00.071000,EURGBP,0.807250023,0.807340026
2016-04-10T22:50:48.193000,EURGBP,0.807259977,0.807340026
2016-04-10T22:50:49.098000,EURGBP,0.807229996,0.807319999
2016-04-10T22:50:59.832000,EURGBP,0.807240009,0.80734998
2016-04-10T22:51:00.647000,EURGBP,0.807240009,0.80734998
2016-04-10T22:51:01.875000,EURGBP,0.807200015,0.807330012
2016-04-10T22:51:57.852000,EURGBP,0.807290018,0.807399988
2016-04-10T22:51:58.599000,EURGBP,0.807280004,0.807380021
2016-04-10T22:52:00.041000,EURGBP,0.807280004,0.807380021
2016-04-10T22:52:00.048000,EURGBP,0.807280004,0.807380021
2016-04-10T22:52:31.306000,EURGBP,0.807219982,0.807319999
2016-04-10T22:52:59.590000,EURGBP,0.80726999,0.807370007
2016-04-10T22:53:01.599000,EURGBP,0.80726999,0.807370007
2016-04-10T22:53:05.865000,EURGBP,0.80726999,0.807370007
2016-04-10T22:53:23.763000,EURGBP,0.807210028,0.807309985
2016-04-10T22:53:54.737000,EURGBP,0.807259977,0.80734998
2016-04-10T22:54:00.671000,EURGBP,0.807259977,0.80734998
